模型,语种,样本数,BLEU分词器,BLEU,chrF++
deepseek,Russian（俄语）,1012,13a,21.1121318774955,48.23014474307916
deepseek,Indonesian（印尼语）,1012,13a,27.79696304697585,56.649784715432226
deepseek,Japanese（日语）,1012,ja-mecab,29.675757016100302,30.400053771124607
deepseek,French（法语）,1012,13a,31.151725872940496,56.15474327417091
deepseek,Thai（泰语）,1012,13a,10.397168376735065,43.53474444053248
deepseek,English（英语）,1012,13a,33.755475823712096,60.001055918618306
deepseek,Spanish（西语）,1012,13a,21.09824786105397,48.070374413668624
deepseek,Vietnamese（越南语）,1012,13a,32.54845062790736,53.078667623431954
deepseek,Arabic（阿语）,1012,13a,16.121787371254264,45.371567589054884
deepseek,Korean（韩语）,1012,ko-mecab,24.910113825594024,31.117908285774675
deepseek,Malay（马来语）,1012,13a,23.433660561606562,54.189626747251474
deepseek,宏平均,11132,,24.72740747830687,47.89078832019448
