模型,语种,样本数,BLEU分词器,BLEU,chrF++
gpt,Russian（俄语）,1012,13a,20.26086114927663,48.22555178471627
gpt,Indonesian（印尼语）,1012,13a,24.978548958712043,55.82121690712911
gpt,Japanese（日语）,1012,ja-mecab,27.709215557320118,29.011381088188905
gpt,French（法语）,1012,13a,28.07241145806434,55.21234681498112
gpt,Thai（泰语）,1012,13a,8.38493328366654,43.49114466780722
gpt,English（英语）,1012,13a,30.985015007811683,58.84093166022149
gpt,Spanish（西语）,1012,13a,21.388962546491097,48.48444672759956
gpt,Vietnamese（越南语）,1012,13a,30.079358858619635,52.55088355273404
gpt,Arabic（阿语）,1012,13a,13.243284275960768,43.586556920007226
gpt,Korean（韩语）,1012,ko-mecab,23.105806959261624,30.14885396127535
gpt,Malay（马来语）,1012,13a,21.123038347066476,53.95123008799748
gpt,宏平均,11132,,22.66649421838645,47.21132219751434
