模型,语种,样本数,BLEU分词器,BLEU,chrF++
gemini,Russian（俄语）,1012,13a,22.84019321693253,49.853781322752496
gemini,Indonesian（印尼语）,1012,13a,28.850066533463625,58.64592079382332
gemini,Japanese（日语）,1012,ja-mecab,31.640533513742895,30.081422382502303
gemini,French（法语）,1012,13a,32.838132915568636,58.3572329048293
gemini,Thai（泰语）,1012,13a,9.480218481509013,45.236220337072744
gemini,English（英语）,1012,13a,34.09038010404392,61.00340890312036
gemini,Spanish（西语）,1012,13a,22.412206397324884,49.27952647170596
gemini,Vietnamese（越南语）,1012,13a,32.72925729064469,54.4194668288699
gemini,Arabic（阿语）,1012,13a,17.30022398035541,47.25756561497529
gemini,Korean（韩语）,1012,ko-mecab,25.21982699242952,32.52472447306351
gemini,Malay（马来语）,1012,13a,24.08636318244092,55.99352873250692
gemini,宏平均,11132,,25.589763873496,49.33207261502019
