模型,语种,样本数,BLEU分词器,BLEU,chrF++
Mango_MT,Russian（俄语）,1012,13a,23.33161335140362,48.29900433935665
Mango_MT,Indonesian（印尼语）,1012,13a,31.74615782779814,57.97368175347174
Mango_MT,Japanese（日语）,1012,ja-mecab,30.987573425484708,28.64464908228561
Mango_MT,French（法语）,1012,13a,33.82912326566844,57.32974703652188
Mango_MT,Thai（泰语）,1012,13a,10.522918325589934,42.83155119837875
Mango_MT,English（英语）,1012,13a,40.488572728411704,63.7805237655963
Mango_MT,Spanish（西语）,1012,13a,24.566590051314943,49.59906628216233
Mango_MT,Vietnamese（越南语）,1012,13a,34.226323741819414,53.549900367348826
Mango_MT,Arabic（阿语）,1012,13a,16.09845623758339,43.99014718701355
Mango_MT,Korean（韩语）,1012,ko-mecab,24.476200078773406,30.222363913101592
Mango_MT,Malay（马来语）,1012,13a,25.51722913064095,54.25436786137241
Mango_MT,宏平均,11132,,26.89006892404442,48.225000253328155
deepseek,Russian（俄语）,1012,13a,21.1121318774955,48.23014474307916
deepseek,Indonesian（印尼语）,1012,13a,27.79696304697585,56.649784715432226
deepseek,Japanese（日语）,1012,ja-mecab,29.675757016100302,30.400053771124607
deepseek,French（法语）,1012,13a,31.151725872940496,56.15474327417091
deepseek,Thai（泰语）,1012,13a,10.397168376735065,43.53474444053248
deepseek,English（英语）,1012,13a,33.755475823712096,60.001055918618306
deepseek,Spanish（西语）,1012,13a,21.09824786105397,48.070374413668624
deepseek,Vietnamese（越南语）,1012,13a,32.54845062790736,53.078667623431954
deepseek,Arabic（阿语）,1012,13a,16.121787371254264,45.371567589054884
deepseek,Korean（韩语）,1012,ko-mecab,24.910113825594024,31.117908285774675
deepseek,Malay（马来语）,1012,13a,23.433660561606562,54.189626747251474
deepseek,宏平均,11132,,24.72740747830687,47.89078832019448
gemini,Russian（俄语）,1012,13a,22.84019321693253,49.853781322752496
gemini,Indonesian（印尼语）,1012,13a,28.850066533463625,58.64592079382332
gemini,Japanese（日语）,1012,ja-mecab,31.640533513742895,30.081422382502303
gemini,French（法语）,1012,13a,32.838132915568636,58.3572329048293
gemini,Thai（泰语）,1012,13a,9.480218481509013,45.236220337072744
gemini,English（英语）,1012,13a,34.09038010404392,61.00340890312036
gemini,Spanish（西语）,1012,13a,22.412206397324884,49.27952647170596
gemini,Vietnamese（越南语）,1012,13a,32.72925729064469,54.4194668288699
gemini,Arabic（阿语）,1012,13a,17.30022398035541,47.25756561497529
gemini,Korean（韩语）,1012,ko-mecab,25.21982699242952,32.52472447306351
gemini,Malay（马来语）,1012,13a,24.08636318244092,55.99352873250692
gemini,宏平均,11132,,25.589763873496,49.33207261502019
gpt,Russian（俄语）,1012,13a,20.26086114927663,48.22555178471627
gpt,Indonesian（印尼语）,1012,13a,24.978548958712043,55.82121690712911
gpt,Japanese（日语）,1012,ja-mecab,27.709215557320118,29.011381088188905
gpt,French（法语）,1012,13a,28.07241145806434,55.21234681498112
gpt,Thai（泰语）,1012,13a,8.38493328366654,43.49114466780722
gpt,English（英语）,1012,13a,30.985015007811683,58.84093166022149
gpt,Spanish（西语）,1012,13a,21.388962546491097,48.48444672759956
gpt,Vietnamese（越南语）,1012,13a,30.079358858619635,52.55088355273404
gpt,Arabic（阿语）,1012,13a,13.243284275960768,43.586556920007226
gpt,Korean（韩语）,1012,ko-mecab,23.105806959261624,30.14885396127535
gpt,Malay（马来语）,1012,13a,21.123038347066476,53.95123008799748
gpt,宏平均,11132,,22.66649421838645,47.21132219751434
